title,location,work_type,pay_period,avg_max_salary,avg_min_salary
AI District 04 - Store Hourly,"Middletown, CT",FULL_TIME,HOURLY,28080.0,21320.0
AI District 23 - Store Hourly,"Raynham, MA",FULL_TIME,HOURLY,31200.0,25480.0
"AIML - Senior Data Infrastructure Software Engineer, Machine Learning Platform and Technology","Cupertino, CA",FULL_TIME,YEARLY,364100.0,199800.0
AML Compliance Analyst,"Austin, TX",CONTRACT,HOURLY,70720.0,70720.0
AP Coordinator,"Ventura, CA",CONTRACT,HOURLY,66560.0,58240.0
AP Specialist,"Westminster, CO",FULL_TIME,HOURLY,54080.0,43680.0
AR Analyst ,"Oakland County, MI",FULL_TIME,YEARLY,79325.0,68750.0
ASIC Design Engineer,United States,CONTRACT,HOURLY,195520.0,174720.0
ASIC Design Verification Engineer,"Sunnyvale, CA",FULL_TIME,YEARLY,152000.0,105000.0
ASP Site Coordinator - Shih Yu-Lang Central Y,"San Francisco, CA",FULL_TIME,HOURLY,58240.0,49920.0
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,"Sacramento, CA",FULL_TIME,MONTHLY,82884.0,66216.0
ATO Cybersecurity Analyst,"McLean, VA",FULL_TIME,YEARLY,133000.0,58400.0
AV Break Fix Technician,"Pleasanton, CA",FULL_TIME,HOURLY,58240.0,52000.0
AVP Digital Application Engineering Manager,"Purchase, NY",FULL_TIME,YEARLY,190000.0,160000.0
AVP Global Tax Compliance,"New York, NY",FULL_TIME,YEARLY,165000.0,135000.0
"AVP, Associate General Counsel ","Lawrenceville, GA",FULL_TIME,YEARLY,150000.0,135000.0
"AVP, US Commercial Property (R1268)",New York City Metropolitan Area,FULL_TIME,YEARLY,180000.0,100000.0
"AVP-Internal Audit, Global Asset Management","Charlotte, NC",INTERNSHIP,YEARLY,236000.0,174000.0
AWS Engineer,"Charlotte, NC",CONTRACT,HOURLY,118560.0,118560.0
"AWS Security TPM, AWS Security Messaging","Seattle, WA",FULL_TIME,YEARLY,197800.0,101700.0
AWS Supply Chain BD,"Arlington, VA",FULL_TIME,YEARLY,262000.0,140800.0
Accessibility Program Manager,United States,CONTRACT,HOURLY,114400.0,93600.0
Account Coordinator,"Los Angeles, CA",FULL_TIME,YEARLY,60000.0,50000.0
Account Coordinator (B2B) - Seasonal,"Hawthorne, CA",FULL_TIME,HOURLY,39520.0,34320.0
Account Developer,"Greenville, NC",FULL_TIME,YEARLY,62500.0,50000.0
Account Executive,"Chesterfield, MO",FULL_TIME,YEARLY,70000.0,60000.0
Account Executive,"Dallas, TX",FULL_TIME,YEARLY,185000.0,150000.0
Account Executive,"Florida, United States",FULL_TIME,YEARLY,80000.0,60000.0
Account Executive,Greater Orlando,FULL_TIME,YEARLY,65000.0,55000.0
Account Executive,"Los Angeles, CA",FULL_TIME,YEARLY,55000.0,45000.0
Account Executive,"Miami, FL",FULL_TIME,YEARLY,185000.0,150000.0
Account Executive,New York City Metropolitan Area,FULL_TIME,YEARLY,85000.0,75000.0
Account Executive,"New York, United States",FULL_TIME,YEARLY,130000.0,105000.0
Account Executive,"Ontario, CA",FULL_TIME,YEARLY,70000.0,65000.0
Account Executive,San Francisco Bay Area,FULL_TIME,YEARLY,90000.0,70000.0
Account Executive,"San Francisco, CA",FULL_TIME,YEARLY,185000.0,150000.0
Account Executive,"Seattle, WA",FULL_TIME,YEARLY,148000.0,55000.0
Account Executive,United States,FULL_TIME,YEARLY,75000.0,52500.0
Account Executive,"Virginia, United States",FULL_TIME,YEARLY,245200.0,136200.0
Account Executive - NYC,"New York, United States",TEMPORARY,YEARLY,120000.0,80000.0
"Account Executive, Earned Media","Washington, DC",FULL_TIME,YEARLY,62000.0,42000.0
"Account Executive, LED Video","Florida, United States",FULL_TIME,YEARLY,100000.0,80000.0
"Account Executive, Large Enterprise GBS","New York, United States",FULL_TIME,YEARLY,127500.0,89200.0
"Account Executive, Partnerships (Spanish Fluency)",San Francisco Bay Area,FULL_TIME,YEARLY,90000.0,70000.0
Account Management Intern,"Brooklyn, NY",FULL_TIME,HOURLY,45760.0,45760.0
Account Manager,"Cincinnati, OH",FULL_TIME,YEARLY,55000.0,45000.0
Account Manager,"Glendale Heights, IL",FULL_TIME,YEARLY,50000.0,45000.0
Account Manager,"Irvine, CA",FULL_TIME,YEARLY,90000.0,70000.0
Account Manager,"Livermore, CA",FULL_TIME,YEARLY,77826.0,59300.0
Account Manager,"Utah, United States",FULL_TIME,YEARLY,50000.0,40000.0
Account Manager | Entry Level,"Cary, NC",FULL_TIME,YEARLY,55000.0,45000.0
Account Manager | Entry Level,"Miami, FL",FULL_TIME,YEARLY,70000.0,40000.0
Account Manager | Entry Level,"Oklahoma City, OK",FULL_TIME,YEARLY,50000.0,45000.0
"Account Manager, Finance ",New York City Metropolitan Area,FULL_TIME,YEARLY,73500.0,66600.0
Account Representative,"Detroit, MI",FULL_TIME,YEARLY,300000.0,75000.0
"Account Representative, Renewed, Direct Sales","Seattle, WA",FULL_TIME,YEARLY,132900.0,55200.0
Account Service Representative,"Kapolei, HI",PART_TIME,HOURLY,52000.0,41600.0
Accountant,"Baltimore, MD",FULL_TIME,YEARLY,70000.0,55000.0
Accountant,"Holyoke, MA",CONTRACT,HOURLY,62400.0,52000.0
Accountant,"Inver Grove Heights, MN",CONTRACT,HOURLY,104000.0,72800.0
Accountant,"Lincoln Park, NJ",FULL_TIME,YEARLY,110000.0,70000.0
Accountant,"Menomonee Falls, WI",FULL_TIME,YEARLY,72000.0,60000.0
Accountant,"New York, NY",FULL_TIME,YEARLY,80500.0,73500.0
Accountant,"Santa Ana, CA",PART_TIME,YEARLY,100000.0,100000.0
Accountant,United States,FULL_TIME,YEARLY,85000.0,55000.0
Accountant (Bilingual Chinese),"Brea, CA",FULL_TIME,YEARLY,68640.0,54080.0
Accountant II,"Denver, CO",FULL_TIME,YEARLY,75000.0,65000.0
Accounting Administrative Assistant,"Lexington, KY",FULL_TIME,YEARLY,52000.0,45000.0
Accounting Administrator,"New York, NY",FULL_TIME,YEARLY,80000.0,75000.0
Accounting Advisory Consultant,"Chicago, IL",CONTRACT,HOURLY,208000.0,166400.0
Accounting Analyst,"Scottsdale, AZ",CONTRACT,HOURLY,55993.600000000006,55993.600000000006
Accounting Analyst,United States,CONTRACT,HOURLY,54080.0,52000.0
Accounting Assistant,"Cobb County, GA",FULL_TIME,YEARLY,53000.0,50000.0
Accounting Assistant,"Houston, TX",FULL_TIME,YEARLY,55000.0,55000.0
Accounting Assistant,"Nashville, TN",CONTRACT,HOURLY,45760.0,41600.0
Accounting Assistant,"San Ramon, CA",FULL_TIME,YEARLY,112100.0,63100.0
Accounting Assistant,"Woodside, CA",FULL_TIME,YEARLY,110000.0,90000.0
Accounting Clerk,"Medford, MA",FULL_TIME,YEARLY,60000.0,50000.0
Accounting Clerk,"Mesa, AZ",CONTRACT,HOURLY,52000.0,41600.0
Accounting Manager,"Austin, TX",FULL_TIME,YEARLY,105000.0,95000.0
Accounting Manager,"Bellingham, WA",FULL_TIME,YEARLY,110000.0,90000.0
Accounting Manager,"Chicago, IL",FULL_TIME,YEARLY,135000.0,120000.0
Accounting Manager,"Costa Mesa, CA",FULL_TIME,YEARLY,100000.0,90000.0
Accounting Manager,"Denver, CO",FULL_TIME,YEARLY,113000.0,75300.0
Accounting Manager,"Duluth, MN",FULL_TIME,YEARLY,120000.0,90000.0
Accounting Manager,Greater Tampa Bay Area,FULL_TIME,YEARLY,125000.0,110000.0
Accounting Manager,"Johns Island, SC",FULL_TIME,YEARLY,85000.0,80000.0
Accounting Manager,San Francisco Bay Area,FULL_TIME,YEARLY,130000.0,110000.0
Accounting Manager,"Scottsdale, AZ",FULL_TIME,YEARLY,75000.0,70000.0
Accounting Manager,"Wyomissing, PA",FULL_TIME,YEARLY,120000.0,100000.0
Accounting Manager ,"Greensboro, NC",FULL_TIME,YEARLY,120000.0,90000.0
Accounting Manager - Project Accounting,"Red Bank, NJ",FULL_TIME,YEARLY,120000.0,105000.0
Accounting Manager -Construction ,"Santa Monica, CA",FULL_TIME,YEARLY,115000.0,100000.0
Accounting Manager(Real Estate) ,"New York, NY",FULL_TIME,YEARLY,120000.0,110000.0
Accounting Manager/Assistant Controller,New York City Metropolitan Area,FULL_TIME,YEARLY,135000.0,125000.0
Accounting Manager/Senior Bookkeeper,"Birmingham, AL",FULL_TIME,YEARLY,70000.0,60000.0
Accounting Manager/Senior Tax Accountant,"Westlake Village, CA",FULL_TIME,HOURLY,104000.0,83200.0
Accounting Representative,"Bernardsville, NJ",FULL_TIME,YEARLY,50000.0,48000.0
Accounting Specialist- AR,"Tempe, AZ",FULL_TIME,HOURLY,52000.0,45760.0
Accounting Supervisor,"San Jose, CA",FULL_TIME,YEARLY,105000.0,95000.0
Accounts Payable (Chinese),"Stafford, TX",FULL_TIME,YEARLY,45000.0,40000.0
Accounts Payable Accountant,"Los Angeles, CA",FULL_TIME,YEARLY,80000.0,65000.0
Accounts Payable Associate (Hybrid),"Oak Brook, IL",FULL_TIME,HOURLY,49920.0,41600.0
Accounts Payable Clerk,"St Cloud, MN",FULL_TIME,HOURLY,52000.0,52000.0
Accounts Payable Coordinator,"Long Beach, CA",FULL_TIME,HOURLY,60944.0,41600.0
Accounts Payable Manager,"Washington, DC",FULL_TIME,YEARLY,95000.0,90000.0
Accounts Payable Officer,"Santa Barbara, CA",FULL_TIME,HOURLY,69576.0,49088.0
Accounts Payable Processor,"Kissimmee, FL",FULL_TIME,HOURLY,36400.0,36400.0
Accounts Payable Specialist,"Boston, MA",FULL_TIME,HOURLY,45760.0,45760.0
Accounts Payable Specialist,"Fort Lauderdale, FL",FULL_TIME,YEARLY,68000.0,68000.0
Accounts Payable Specialist,"Mobile, AL",FULL_TIME,YEARLY,40000.0,35000.0
Accounts Payable Specialist,"New York, NY",FULL_TIME,HOURLY,72800.0,58240.0
Accounts Payable Specialist,"Pleasanton, CA",FULL_TIME,HOURLY,72800.0,62400.0
Accounts Payable Specialist,"Redwood City, CA",FULL_TIME,HOURLY,66560.0,62400.0
Accounts Payable Specialist,United States,FULL_TIME,HOURLY,49920.0,45760.0
Accounts Payable Specialist (Contract to Hire),"Denver, CO",CONTRACT,HOURLY,53996.8,53996.8
Accounts Payable Systems Analyst,"Bethpage, NY",FULL_TIME,YEARLY,64000.0,63935.04
Accounts Payable Team Lead,"New York, NY",FULL_TIME,YEARLY,90000.0,80000.0
Accounts Receivable / Collections Specialist,"Ronkonkoma, NY",FULL_TIME,HOURLY,54080.0,45760.0
Accounts Receivable Specialist,"Fort Lauderdale, FL",FULL_TIME,YEARLY,65000.0,65000.0
Accounts Receivable Specialist,"Tampa, FL",CONTRACT,HOURLY,52000.0,41600.0
Accreditation Coordinator,"Doral, FL",TEMPORARY,YEARLY,18.0,16.0
Acoustics Engineering Program Manager,"Cupertino, CA",FULL_TIME,YEARLY,241500.0,132300.0
"Acquisition Marketing Manager, SEO, Amazon Flex","Bellevue, WA",FULL_TIME,YEARLY,155200.0,64500.0
Acquisitions/Investment Associate – Industrial and Outdoor Storage (IOS),"Beachwood, OH",FULL_TIME,YEARLY,125000.0,75000.0
Act Manager Rtl SMB-Business Sls,"Vacaville, CA",FULL_TIME,YEARLY,70700.0,38100.0
Actimize Architect,"San Antonio, TX",CONTRACT,HOURLY,145600.0,145600.0
Actimize SME,"San Antonio, TX",FULL_TIME,YEARLY,154000.0,140000.0
Activity Security Representative III,"Kirtland Air Force Base, NM",FULL_TIME,YEARLY,100000.0,90000.0
Actuarial Associate (Solvency II Reporting),New York City Metropolitan Area,FULL_TIME,YEARLY,139254.0,104440.0
Acute Care Nurse,"Fullerton, CA",FULL_TIME,YEARLY,150000.0,105000.0
Ad Tech Product Counsel,"Seattle, WA",FULL_TIME,YEARLY,228000.0,133000.0
Admin Coordinator / Legal,"Los Angeles, CA",FULL_TIME,YEARLY,95201.6,55120.0
Admin Support,"Springfield, Massachusetts Metropolitan Area",CONTRACT,HOURLY,54080.0,47840.0
Administrative Assistant,"Annapolis, MD",FULL_TIME,YEARLY,65000.0,55000.0
Administrative Assistant,"Carlsbad, CA",FULL_TIME,HOURLY,45760.0,45760.0
Administrative Assistant,"Chattanooga, TN",CONTRACT,HOURLY,49920.0,37440.0
Administrative Assistant,"Dallas, TX",FULL_TIME,YEARLY,25.0,20.0
Administrative Assistant,"Jersey City, NJ",CONTRACT,HOURLY,62400.0,52000.0
Administrative Assistant,"Kapolei, HI",FULL_TIME,HOURLY,37440.0,31200.0
Administrative Assistant,"Los Angeles, CA",FULL_TIME,HOURLY,66560.0,54080.0
Administrative Assistant,"Milton, MA",CONTRACT,HOURLY,54080.0,45760.0
Administrative Assistant,"Nashville, TN",FULL_TIME,YEARLY,55000.0,55000.0
Administrative Assistant,"New York, NY",FULL_TIME,HOURLY,89440.0,74880.0
Administrative Assistant,"Ocoee, FL",PART_TIME,HOURLY,41600.0,37440.0
Administrative Assistant,"Orlando, FL",FULL_TIME,HOURLY,39520.0,34320.0
Administrative Assistant,"Palatine, IL",FULL_TIME,HOURLY,45760.0,41600.0
Administrative Assistant,"San Francisco, CA",FULL_TIME,YEARLY,60000.0,55000.0
Administrative Assistant,"San Luis Obispo, CA",FULL_TIME,HOURLY,39520.0,39520.0
Administrative Assistant,"Springfield, Massachusetts Metropolitan Area",CONTRACT,HOURLY,54080.0,47840.0
Administrative Assistant,"West Sacramento, CA",FULL_TIME,HOURLY,45760.0,33280.0
Administrative Assistant - Parking - Full Time 8 Hour Days (Non-Exempt) (Non-Union),"Los Angeles, CA",FULL_TIME,HOURLY,71094.4,45760.0
Administrative Assistant II,"Chattanooga, TN",CONTRACT,HOURLY,49920.0,37440.0
Administrative Associate 3- Hybrid/ Open to Remote,"Stanford, CA",FULL_TIME,YEARLY,91000.0,50000.0
Administrative Clerk,United States,CONTRACT,HOURLY,45760.0,45760.0
Administrative Coordinator - Bone Marrow Transplant - Mount Sinai Hospital - Full Time Days,United States,FULL_TIME,YEARLY,74250.0,58661.0
"Administrative Coordinator, Transportation Sales & Operations","Sun Valley, CA",FULL_TIME,HOURLY,52000.0,41600.0
Administrative Services Manager,"Minnetonka, MN",FULL_TIME,YEARLY,104622.0,85406.0
Administrative Specialist,"Parsippany, NJ",TEMPORARY,HOURLY,58240.0,52000.0
Administrative Specialist (TAP),"Fort Hood, TX",FULL_TIME,HOURLY,33696.0,33696.0
Administrative/Bookkeeping Assistant,"Manhattan Beach, CA",TEMPORARY,HOURLY,62400.0,62400.0
Admissions Representative,"Columbia, South Carolina Metropolitan Area",FULL_TIME,YEARLY,60000.0,52000.0
"Adolescent Mental Health Guide (Community Health, Behavioral and Mental)",Washington DC-Baltimore Area,FULL_TIME,YEARLY,60000.0,50000.0
Advanced Engineer,"Clinton Township, MI",FULL_TIME,YEARLY,95000.0,80000.0
Advanced Financial Business Process Manager,"Austin, Texas Metropolitan Area",CONTRACT,YEARLY,93000.0,90000.0
Advanced Practice Nurse,"Hermitage, TN",FULL_TIME,YEARLY,130000.0,120000.0
Advanced Practice Provider,"Goodyear, AZ",FULL_TIME,YEARLY,161616.0,98166.43
Advanced Practice Provider (PA/NP/APP) -General Surgery (EGS and G Tube Clinic) and Trauma Surgery,"Charlottesville, VA",FULL_TIME,YEARLY,149032.0,93142.4
Advanced support engineer for a Scottsdale-based MSP,"Phoenix, AZ",FULL_TIME,YEARLY,70000.0,60000.0
Advertising Account Executive - Digital,"Charlotte, NC",FULL_TIME,YEARLY,100000.0,100000.0
Advertising Sales Account Executive,"Scranton, PA",FULL_TIME,YEARLY,75000.0,35000.0
Advisor Business Analyst,"Gainesville, MS",FULL_TIME,YEARLY,110200.0,77100.0
Advisor Security - GRCS Consultant,"Tennessee, United States",FULL_TIME,YEARLY,118100.0,82700.0
Aerospace Structural Design Engineer,"San Diego, CA",FULL_TIME,YEARLY,189.0,120.0
Aerospace VP of Sales and Marketing,"Cerritos, CA",FULL_TIME,YEARLY,255000.0,190000.0
Aesthetic Nurse Practitioner,"Suffolk City County, VA",FULL_TIME,YEARLY,125000.0,115000.0
Affiliate Manager - BrainMD,United States,FULL_TIME,YEARLY,80000.0,70000.0
Agile Tools Analyst & Administrator,"Dallas, TX",FULL_TIME,YEARLY,140000.0,100000.0
Aircraft Electrical and Electronics Engineer in Southern CA ,"Santa Barbara County, CA",FULL_TIME,YEARLY,180000.0,140000.0
Alarm Service Technician,"Wilmington, DE",FULL_TIME,HOURLY,83200.0,52000.0
Allocation Analyst,"Baltimore, MD",FULL_TIME,YEARLY,89097.8,64798.0
Alt-Text Writer,"Columbus, Ohio Metropolitan Area",FULL_TIME,HOURLY,72800.0,62400.0
Ambulatory Care Nurse - **Gyn/GYN exp highly preferred**,"New York, NY",FULL_TIME,YEARLY,101764.0,100000.0
Analyst Financial Advisory,San Francisco Bay Area,FULL_TIME,YEARLY,110000.0,90000.0
"Analyst or Senior Analyst, Healthcare Consulting",United States,FULL_TIME,YEARLY,117000.0,71000.0
"Analyst, Compensation Operations","Chicago, IL",FULL_TIME,YEARLY,88000.0,70400.0
"Analyst, Compensation Operations",United States,FULL_TIME,YEARLY,88000.0,70400.0
"Analyst, Corporate Development","Greenville, SC",FULL_TIME,YEARLY,95000.0,75000.0
"Analyst, Eurofins Environment Testing, Air Toxics, Folsom, CA","Folsom, CA",FULL_TIME,HOURLY,47840.0,43680.0
"Analyst, Vendor Analytics","San Diego, CA",FULL_TIME,YEARLY,209100.0,139400.0
Analytical Chemist,"Chesterfield, MO",CONTRACT,HOURLY,54080.0,41600.0
Analytical Epidemiologist,"Atlanta, GA",FULL_TIME,YEARLY,212000.0,93300.0
Analytics Developer II Remote,"Dallas, TX",CONTRACT,YEARLY,111966.0,64064.0
Analytics Project Manager,"Irvine, CA",CONTRACT,HOURLY,112320.0,106080.0
Anaplan Solutions Architect,United States,CONTRACT,HOURLY,291200.0,166400.0
Anesthesia Veterinary Nurse (Penn Vet- Ryan Hospital),"Philadelphia, PA",FULL_TIME,HOURLY,58240.0,37398.4
"Anesthesiology Physician Assistant - $129,444/yearly - $151,944/yearly","New York, NY",FULL_TIME,YEARLY,151944.0,129444.0
Angular Software Engineer,United States,CONTRACT,HOURLY,145600.0,145600.0
Animal Health Technician I,"Duarte, CA",FULL_TIME,HOURLY,70720.0,49920.0
Annual Enrollment Benefits Specialist,"Alpharetta, GA",CONTRACT,HOURLY,43680.0,39520.0
ApartmentsForLegends Social Media Representative,"Tuscaloosa, AL",INTERNSHIP,HOURLY,31200.0,20800.0
AppDynamics Enterprise Sales Representative - NYC,"Fairfield County, CT",FULL_TIME,YEARLY,347300.0,260100.0
AppDynamics Enterprise Sales Representative - NYC,"New York, NY",FULL_TIME,YEARLY,347300.0,260100.0
Appliances Salesperson,"Silver Spring, MD",FULL_TIME,YEARLY,100000.0,45000.0
Application Analyst,New York City Metropolitan Area,FULL_TIME,YEARLY,80000.0,70000.0
Application Architect - IBM Maximo,"Atlanta, GA",FULL_TIME,YEARLY,190000.0,102000.0
Application Architect - IBM Maximo,"Chicago, IL",FULL_TIME,YEARLY,190000.0,102000.0
Application Architect - IBM Maximo,"Dallas, TX",FULL_TIME,YEARLY,190000.0,102000.0
Application Architect - IBM Maximo,"San Francisco, CA",FULL_TIME,YEARLY,190000.0,102000.0
Application Developer,"Lenoir, NC",FULL_TIME,YEARLY,110000.0,100000.0
Application Developer (.Net/C#),Greater Chicago Area,CONTRACT,HOURLY,139360.0,124800.0
Application Development Specialist,United States,CONTRACT,YEARLY,23.0,23.0
Application Engineer,Grand Rapids Metropolitan Area,FULL_TIME,YEARLY,110000.0,65000.0
Application Engineer,"Memphis metropolitan area, MS",FULL_TIME,YEARLY,75000.0,65000.0
Application Intelligence Analyst,"City of Industry, CA",FULL_TIME,YEARLY,110000.0,85000.0
Application Packager- 75480,"Chicago, IL",CONTRACT,HOURLY,145600.0,124800.0
Application Packager- 75480,"Houston, TX",CONTRACT,HOURLY,145600.0,124800.0
Application Project Manager,"Hollywood, FL",FULL_TIME,YEARLY,93500.0,85000.0
Application Software Developer lll (Hybrid),"Chicago, IL",FULL_TIME,YEARLY,145000.0,86000.0
Application Support Engineer,"Glendale, AZ",FULL_TIME,YEARLY,95000.0,73000.0
Applications Analyst III,"Boulder, CO",FULL_TIME,YEARLY,145654.91,87392.95
Applications Analyst III,"Salt Lake City, UT",FULL_TIME,YEARLY,145654.91,87392.95
"Applied Scientist II, Search Science and AI","Palo Alto, CA",FULL_TIME,YEARLY,222200.0,136000.0
Archaeological Field Technician,"Jacksonville, FL",OTHER,HOURLY,122720.0,37440.0
Architect,"Manhattan, NY",FULL_TIME,YEARLY,140000.0,125000.0
Architect,"New York, NY",FULL_TIME,YEARLY,80000.0,60000.0
Architect,"Texas, United States",FULL_TIME,YEARLY,105000.0,90000.0
Architectural Designer,Greater Chicago Area,FULL_TIME,YEARLY,120000.0,90000.0
Area Facilities Manager,"Fargo, ND",FULL_TIME,YEARLY,65000.0,65000.0
Area Facilities Manager / Hydraulic Technician,Fargo-Moorhead,FULL_TIME,YEARLY,65000.0,65000.0
Area Leader,"Louisiana, United States",FULL_TIME,YEARLY,675000.0,50000.0
Area Leader,"Minnesota, United States",FULL_TIME,YEARLY,675000.0,50000.0
Area Manager,"Buffalo, NY",FULL_TIME,YEARLY,110000.0,90000.0
Area Manager,"San Diego, CA",FULL_TIME,YEARLY,100000.0,61400.0
"Area Manager II - Bloomington, CA","Bloomington, CA",FULL_TIME,YEARLY,100000.0,61400.0
"Area Manager II - Hamburg, NY","Hamburg, NY",FULL_TIME,YEARLY,100000.0,61400.0
"Area Manager II - Tracy, CA","Tracy, CA",FULL_TIME,YEARLY,100000.0,61400.0
Area Sales Manager,"Capitol Heights, MD",FULL_TIME,YEARLY,91258.0,83000.0
Art Director,"San Diego, CA",FULL_TIME,YEARLY,152800.0,101900.0
Art Facilitator,"Palo Alto, CA",CONTRACT,HOURLY,72800.0,52000.0
Art Teacher,"Philadelphia, PA",FULL_TIME,YEARLY,99394.0,50066.0
Artist Coordinator,"Newburgh, IN",PART_TIME,HOURLY,41600.0,35360.0
Artist Marketing Manager,"Los Angeles, CA",FULL_TIME,YEARLY,85000.0,68000.0
Asphalt Plant Operator,"Denver, CO",FULL_TIME,HOURLY,69139.2,46092.8
Asphalt Plant Operator,"Pasco, WA",FULL_TIME,HOURLY,83200.0,62400.0
Asphalt Plant Operator,"Vancouver, WA",FULL_TIME,HOURLY,83200.0,62400.0
Asphalt Plant Operator,"Yakima, WA",FULL_TIME,HOURLY,83200.0,62400.0
Assembly Operation Tech - PM,"San Antonio, TX",FULL_TIME,HOURLY,37419.2,34632.0
Assembly Technician,"Corona, CA",FULL_TIME,HOURLY,40560.0,37440.0
Asset Accountant,United States,TEMPORARY,HOURLY,124800.0,124800.0
Asset Maintenance Specialist,"Denver, CO",FULL_TIME,HOURLY,60153.600000000006,40102.4
"Asset Protection Investigator (San Francisco, California)","Daly City, CA",FULL_TIME,HOURLY,81681.6,62233.600000000006
"Assistant Account Executive, Corporate Affairs (Hybrid Work Structure)","New York, NY",FULL_TIME,YEARLY,75000.0,35000.0
"Assistant Account Executive, long-term, on-going freelance","Huntington Beach, CA",CONTRACT,HOURLY,58240.0,58240.0
